MV,NMV,speed,time,mvspeed,nmvspeed,mvtime,nmvtime
100,0,4.48626471658978,67.6590038314176,4.48626471658978,0,67.6590038314176,0
100,0,4.32801753575383,72.2220643939394,4.32801753575383,0,72.2220643939394,0
100,0,4.3765708937437,75.186003255057,4.3765708937437,0,75.186003255057,0
100,0,4.35481213276993,74.3107976653696,4.35481213276993,0,74.3107976653696,0
100,0,4.49998635678619,68.4957596316937,4.49998635678619,0,68.4957596316937,0
100,0,4.28862464815632,80.312514955731,4.28862464815632,0,80.312514955731,0
100,0,4.48994240313175,69.6633761105627,4.48994240313175,0,69.6633761105627,0
100,0,4.40652539855933,69.6326333574704,4.40652539855933,0,69.6326333574704,0
100,0,4.5022592297579,67.6998751560549,4.5022592297579,0,67.6998751560549,0
100,0,4.48446886081753,70.1777884847025,4.48446886081753,0,70.1777884847025,0
75,25,3.56929720102173,95.4117932540645,4.18433098168194,1.58745166805417,94.8756756756757,97.1393442622951
75,25,3.61133278811136,76.063793933558,4.27510079664372,1.64409668648778,74.9307791371539,79.4217557251908
75,25,3.61720754864626,77.3207684824903,4.25536364507312,1.63650349686228,74.7289389067524,85.3652694610778
75,25,3.64003359731039,74.4739827373613,4.31402131920011,1.6450562681622,73.8188716595183,76.4130859375
75,25,3.5701579347343,77.0335114133074,4.22347117327517,1.62911831280141,74.121064589419,85.6865959498553
75,25,3.61250543711213,72.8309756097561,4.29762996311975,1.66006136534395,72.4823723228995,73.8244131455399
75,25,3.7487437591695,67.5447292069633,4.41993076837994,1.66045813409128,68.061661341853,65.9363817097416
75,25,3.45583771593411,86.8556980759743,4.07144657197946,1.58818457953385,85.7215480485405,90.2965174129353
75,25,3.54446427227116,81.8273532152842,4.17517408986133,1.61172092973156,81.6325710754017,82.4242424242424
75,25,3.54446427227116,81.8273532152842,4.17517408986133,1.61172092973156,81.6325710754017,82.4242424242424
50,50,2.88460238006863,69.4370594159114,4.39193748907474,1.64931950786893,60.5287870318614,76.7375171781951
50,50,2.75075282438419,84.1966236345581,4.110595275932,1.58526314368923,74.1818181818182,92.7800829875519
50,50,2.80871501051482,80.3849546679735,4.22661610282808,1.62362268954405,72.7696447793326,86.7498875393612
50,50,2.87273024038212,73.3689773844641,4.31022191780442,1.62901323199335,65.5797562268151,80.1082072443833
50,50,2.75670551172128,79.7928356713427,4.10217323914937,1.6212923301919,75.0087575259989,83.8300230946882
50,50,2.66881620055949,103.335563816605,3.98268203783949,1.55971647411701,93.9079588521927,111.293875685558
50,50,2.6626065020249,93.8884337349398,3.93626060933124,1.55318371784282,86.3312629399586,100.471145175834
50,50,2.86109685714126,71.4342688330871,4.30727454092041,1.64195069722218,60.5279870828848,80.6284029038112
50,50,2.70846561708939,87.2664763264335,4.0381088116531,1.58809112346754,77.105098855359,95.828583954406
50,50,2.8262105010962,76.1825849665096,4.23933531791563,1.63590472532005,68.659793814433,82.5191956124314
25,75,2.15268882935607,102.158190709046,3.99492029180441,1.56357899415558,80.9313824419778,108.946111648919
25,75,2.1816282030596,91.6240115025162,4.03901685323126,1.58698178927482,65.195652173913,100.085099652009
25,75,2.26290622769913,79.7728274173807,4.31696455657131,1.60937234184305,55.9158215010142,87.3633430138755
25,75,2.2443329816899,86.6814615007357,4.16250440153174,1.58768443770191,61.7846153846154,95.2044107965767
25,75,2.16242145762556,103.353901560624,3.99814938513088,1.5530560630779,77.4373795761079,111.956827630317
25,75,2.22821204598667,91.3351444801185,4.01753106782324,1.58061457962402,68.953531598513,99.4355869492096
25,75,2.21086240607836,83.3668378576669,4.04010233860475,1.59653419613483,66.022373540856,89.1917673962757
25,75,2.25935967296916,79.7638854905799,4.10284625401722,1.61298185985217,65.6588124410933,84.7095175148711
25,75,2.18427198393708,87.48626306832,4.10504564330647,1.57861709805981,64.8042596348884,94.6383114806524
25,75,2.1631565940901,89.8583856935718,3.98065233341566,1.58243888656325,72.2065868263473,95.4984056122449
0,100,1.57293149361819,87.937984496124,0,1.57293149361819,0,87.937984496124
0,100,1.60194822694912,84.6264524103832,0,1.60194822694912,0,84.6264524103832
0,100,1.57390355221341,90.2663242846662,0,1.57390355221341,0,90.2663242846662
0,100,1.53825316320473,100.325079676391,0,1.53825316320473,0,100.325079676391
0,100,1.55096786972515,107.602272727273,0,1.55096786972515,0,107.602272727273
0,100,1.5676415826898,96.9997571636717,0,1.5676415826898,0,96.9997571636717
0,100,1.55610902378177,95.7249206736637,0,1.55610902378177,0,95.7249206736637
0,100,1.56295534160714,92.8601778656126,0,1.56295534160714,0,92.8601778656126
0,100,1.59903533524811,85.2314487632509,0,1.59903533524811,0,85.2314487632509
0,100,1.52401986929064,109.245537867824,0,1.52401986929064,0,109.245537867824



